Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
82,"Jerryd Bayless, TOR",31,22.7,.561,24.3,10.9,23.6,1.3,9.5,5.5,17.80,17.80,71.6,2.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3417,Jerryd Bayless
83,"John Wall, WSH",66,36.2,.502,28.6,13.7,24.8,2.3,12.0,7.1,17.77,17.77,241.0,8.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4237,John Wall
84,"Cole Aldrich, OKC",26,6.7,.592,5.0,15.0,13.2,9.2,21.6,15.8,17.74,17.74,18.4,0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4267,Cole Aldrich
85,"Amar'e Stoudemire, NY",47,32.8,.541,5.6,12.1,22.6,7.9,19.8,13.7,17.73,17.73,143.5,4.8,http://insider.espn.go.com/nba/players/hollinger?playerId=1727,Amar'e Stoudemire
86,"Isaiah Thomas, SAC",65,25.5,.574,26.0,10.3,19.7,3.0,8.4,5.6,17.68,17.68,165.0,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6472,Isaiah Thomas
87,"Ryan Reid, OKC",5,3.4,.800,0.0,16.7,13.8,7.2,6.3,6.7,17.65,17.65,1.7,0.1,http://insider.espn.go.com/nba/players/hollinger?playerId=4286,Ryan Reid
88,"Rodney Stuckey, DET",55,29.9,.550,19.9,10.1,22.7,2.7,7.8,5.2,17.62,17.62,162.5,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3235,Rodney Stuckey
89,"DeJuan Blair, SA",64,21.3,.549,10.7,12.7,19.5,13.2,16.3,14.8,17.61,17.61,138.6,4.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3965,DeJuan Blair
90,"Anthony Randolph, MIN",34,15.2,.532,6.4,13.5,21.4,9.0,17.5,13.2,17.60,17.60,47.1,1.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3455,Anthony Randolph
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
91,"Andre Iguodala, PHI",62,35.6,.537,28.9,9.8,17.5,2.8,16.4,9.6,17.59,17.59,233.8,7.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2386,Andre Iguodala
92,"Rajon Rondo, BOS",53,36.9,.483,42.3,13.2,21.7,3.9,11.2,7.7,17.55,17.55,191.3,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3026,Rajon Rondo
93,"Monta Ellis, GS/MIL",58,36.6,.509,20.5,10.5,28.5,1.1,9.6,5.3,17.53,17.53,222.6,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2751,Monta Ellis
94,"Jordan Farmar, NJ",39,21.3,.592,23.9,12.6,22.1,1.0,7.8,4.3,17.46,17.46,80.1,2.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3002,Jordan Farmar
95,"Marcus Thornton, SAC",51,34.9,.544,9.3,7.9,21.5,4.9,6.7,5.8,17.43,17.43,176.2,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4017,Marcus Thornton
96,"Kosta Koufos, DEN",48,16.5,.608,5.7,12.5,12.5,14.4,23.3,19.0,17.35,17.35,79.8,2.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3444,Kosta Koufos
97,"Nicolas Batum, POR",59,30.4,.575,9.5,10.2,18.5,5.2,12.6,8.8,17.32,17.32,182.3,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3416,Nicolas Batum
98,"Derrick Favors, UTAH",65,21.3,.537,6.4,15.2,18.7,13.0,22.4,17.6,17.05,17.05,120.7,4.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4257,Derrick Favors
99,"Samuel Dalembert, HOU",65,22.2,.551,5.9,14.7,14.8,12.5,24.1,18.3,16.98,16.98,137.6,4.6,http://insider.espn.go.com/nba/players/hollinger?playerId=991,Samuel Dalembert
100,"Taj Gibson, CHI",63,20.4,.522,8.2,10.5,17.2,12.0,16.8,14.4,16.90,16.90,116.9,3.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3986,Taj Gibson
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
101,"Mike Conley, MEM",62,35.1,.523,31.5,9.7,18.7,1.2,7.4,4.2,16.79,16.79,187.9,6.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3195,Mike Conley
,"Ramon Sessions, CLE/LAL",64,26.7,.535,30.3,12.1,22.7,2.2,12.0,7.1,16.79,16.79,147.4,4.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3231,Ramon Sessions
103,"Jose Calderon, TOR",53,33.9,.547,43.4,9.6,17.4,1.3,9.1,5.2,16.73,16.73,153.9,5.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2806,Jose Calderon
104,"Gustavo Alfonso Ayon, NO",54,20.1,.552,18.1,11.3,13.7,9.6,19.3,14.5,16.71,16.71,84.7,2.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6546,Gustavo Alfonso Ayon
105,"Kawhi Leonard, SA",64,24.0,.573,12.6,7.9,13.1,7.9,16.4,12.2,16.66,16.66,141.1,4.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6450,Kawhi Leonard
106,"Jason Smith, NO",40,23.7,.537,7.7,9.0,18.3,9.2,15.3,12.3,16.65,16.65,72.7,2.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3232,Jason Smith
107,"Mike Dunleavy, MIL",55,26.3,.597,15.8,7.8,17.9,2.2,13.7,7.8,16.63,16.63,132.3,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1708,Mike Dunleavy
108,"Kevin Martin, HOU",40,31.6,.554,13.8,8.8,22.7,1.2,8.6,4.9,16.60,16.60,115.0,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2394,Kevin Martin
109,"Danilo Gallinari, DEN",43,31.4,.563,15.6,9.2,19.1,2.5,14.6,8.7,16.58,16.58,122.6,4.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3428,Danilo Gallinari
110,"Paul George, IND",66,29.7,.555,15.9,11.8,18.2,3.2,17.9,10.6,16.55,16.55,176.9,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4251,Paul George
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
111,"Tyreke Evans, SAC",63,34.3,.512,19.3,11.7,22.8,3.1,12.0,7.3,16.48,16.48,176.9,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3983,Tyreke Evans
112,"Jason Thompson, SAC",64,25.9,.558,11.8,10.2,14.3,10.5,19.3,14.7,16.41,16.41,143.8,4.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3462,Jason Thompson
,"John Lucas III, CHI",49,14.8,.496,20.7,8.0,25.3,3.4,8.1,5.8,16.41,16.41,58.6,2.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2866,John Lucas III
114,"DeAndre Jordan, LAC",66,27.2,.626,3.5,15.4,10.6,13.2,23.0,18.1,16.39,16.39,155.5,5.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3442,DeAndre Jordan
115,"Hamed Haddadi, MEM",35,5.9,.589,9.0,23.7,16.2,15.6,24.9,20.1,16.31,16.31,17.6,0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3478,Hamed Haddadi
116,"Charlie Villanueva, DET",13,13.8,.484,5.6,6.5,23.4,5.8,26.8,15.9,16.29,16.29,12.9,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2792,Charlie Villanueva
117,"Marcus Camby, HOU/POR",59,22.9,.455,22.3,11.9,13.7,13.3,32.7,22.8,16.25,16.25,114.1,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=125,Marcus Camby
118,"Antawn Jamison, CLE",65,33.1,.481,9.5,6.5,24.1,6.3,15.7,10.8,16.17,16.17,149.9,5.0,http://insider.espn.go.com/nba/players/hollinger?playerId=385,Antawn Jamison
119,"Hassan Whiteside, SAC",18,6.1,.449,0.0,13.4,13.2,15.4,24.3,19.6,16.16,16.16,7.6,0.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4262,Hassan Whiteside
120,"Chauncey Billups, LAC",20,30.4,.554,20.6,9.8,22.5,0.8,9.1,4.9,16.10,16.10,48.0,1.6,http://insider.espn.go.com/nba/players/hollinger?playerId=63,Chauncey Billups
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
121,"Devin Harris, UTAH",63,27.6,.564,29.5,11.4,19.8,0.8,6.7,3.7,16.08,16.08,132.0,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2382,Devin Harris
122,"Gerald Wallace, NJ/POR",58,35.8,.547,16.3,11.0,19.3,4.8,17.2,10.8,15.98,15.98,169.7,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=1026,Gerald Wallace
